Order ID,Order Date,Region,Product Category,Sales Amount,Quantity Sold,Discount (%),Profit,Profit Margin
ab899d2f,06-04-23,North,Groceries,859.29,44,37,1653.87,192%
73484eb1,30-04-24,West,Groceries,1546.81,23,33,1932.71,125%
19395924,12-03-24,East,Groceries,4703.58,31,15,527.47,11%
b3fded3d,09-02-24,East,Groceries,3377.17,47,3,482.65,14%
6e4bdd51,29-07-24,South,Clothing,3517.49,6,28,748.72,21%
21d88d69,26-08-23,East,Furniture,362.55,19,50,314.71,87%
9da2704d,07-10-24,East,Sports,4811.17,22,18,1372.89,29%
a1bd6815,15-03-23,West,Electronics,3565.20,22,16,1437.30,40%
0bbd51fc,29-06-23,East,Clothing,3805.25,19,3,1537.28,40%
8bf7e4b3,13-03-23,South,Clothing,2178.72,15,24,1696.65,78%
e6cf1255,27-05-24,West,Groceries,2844.93,34,12,1166.39,41%
3ba1fc5c,31-12-23,West,Electronics,3600.04,10,2,1632.75,45%
388ff70d,09-11-23,East,Sports,941.88,13,28,646.49,69%
ce2e9002,24-12-22,South,Sports,3300.86,1,48,86.90,3%
a4f9a338,07-02-24,East,Groceries,1081.62,4,19,611.06,56%
eadceaa8,27-01-24,East,Furniture,3455.67,39,21,208.10,6%
ad7f9de9,01-06-23,South,Groceries,2381.51,16,39,1083.96,46%
35358e9c,28-06-24,North,Clothing,2784.79,35,40,999.60,36%
31676338,16-11-23,South,Clothing,1082.98,8,11,1604.19,148%
05d72e20,21-09-24,East,Clothing,787.79,47,18,1313.33,167%
68dbe328,01-10-24,South,Furniture,312.70,36,43,559.52,179%
78d3f47b,31-05-23,East,Sports,265.32,21,36,595.91,225%
9e4d1fe0,18-04-24,West,Furniture,1253.64,35,14,1653.66,132%
9215a70e,19-02-24,West,Clothing,1874.07,28,23,1783.26,95%
54ca3433,25-04-23,East,Clothing,2561.71,44,10,800.82,31%
0ba75cc7,13-05-23,West,Sports,1960.74,50,6,1530.61,78%
601860b1,21-04-23,East,Electronics,2415.44,35,14,335.57,14%
e393e106,30-12-23,East,Electronics,2284.22,8,41,1866.59,82%
7ab3d472,20-11-22,West,Sports,2118.55,29,24,702.15,33%
01d9b1ae,18-11-23,South,Groceries,4803.60,11,12,1086.74,23%
20385cb6,29-08-24,North,Groceries,4297.00,17,49,678.70,16%
2bfe58fa,06-06-24,East,Sports,804.64,43,1,60.68,8%
2800f598,29-10-23,West,Clothing,2903.83,16,31,27.53,1%
97d3684e,07-07-23,East,Electronics,3436.78,21,27,75.19,2%
8a0ce327,22-09-24,South,Electronics,581.50,39,34,863.00,148%
6ed01fa3,02-04-23,West,Electronics,1939.10,26,47,1273.29,66%
1c109dd7,04-12-22,South,Furniture,3252.47,24,4,1643.65,51%
1ebbf879,21-09-23,North,Clothing,3153.71,2,13,101.03,3%
6e47d6b1,03-09-24,East,Electronics,322.61,25,39,556.48,172%
4ab76caf,27-02-24,East,Furniture,2100.47,5,13,1047.83,50%
c2479513,08-02-23,West,Electronics,2210.87,9,49,1646.08,74%
89554edf,04-03-23,East,Clothing,2128.58,46,13,1671.36,79%
b032cfa6,18-10-24,South,Furniture,3242.89,22,7,1746.32,54%
f6d78416,15-10-24,East,Electronics,229.66,2,2,417.82,182%
20fd2146,27-03-24,North,Sports,424.59,6,27,1509.87,356%
dfe3e788,14-01-24,East,Electronics,636.44,30,10,1965.35,309%
2d0684b7,22-02-23,East,Sports,82.77,3,33,1416.52,1711%
86919e9e,08-11-23,East,Sports,3666.86,42,2,1455.39,40%
422500bb,04-02-24,East,Groceries,1864.97,35,5,766.36,41%
b73e5c36,28-10-23,East,Electronics,1992.19,1,43,1273.72,64%
2ebc67f7,22-05-23,West,Sports,1154.47,41,25,402.81,35%
7ade007e,14-02-24,South,Electronics,875.31,34,30,1216.75,139%
db5bd71a,29-11-23,South,Electronics,3395.86,43,11,755.41,22%
d13d939a,07-11-24,West,Clothing,2559.15,43,4,432.75,17%
048023bf,30-12-22,North,Groceries,1803.62,5,17,457.27,25%
8a1b0d6f,15-07-23,North,Electronics,2676.35,43,36,877.09,33%
5a064ebb,06-06-24,South,Electronics,1696.76,4,34,1342.89,79%
7f4cb54d,02-08-24,South,Sports,4694.48,43,18,1318.49,28%
ebebbab8,07-03-23,West,Electronics,72.07,36,36,1470.42,2040%
4daf15d5,15-09-23,West,Sports,3510.15,22,37,313.22,9%
066c7aab,16-12-23,East,Furniture,1268.99,10,28,1193.02,94%
ad667d66,05-12-23,West,Electronics,397.75,49,5,335.09,84%
10af4311,27-09-23,South,Sports,2946.65,45,32,1418.29,48%
4b6a955c,01-04-24,North,Furniture,3270.98,47,11,1784.10,55%
8406e7a9,02-12-23,East,Electronics,2968.48,27,47,1340.85,45%
06be581e,19-07-23,North,Electronics,3430.86,24,11,1885.85,55%
53f197ad,15-01-23,North,Groceries,2806.15,38,41,1710.11,61%
92458ed3,08-04-23,North,Furniture,1356.62,2,21,1213.34,89%
76740552,02-10-23,South,Electronics,2905.80,20,10,1417.43,49%
f92de80d,14-05-23,South,Furniture,2065.42,22,15,787.51,38%
647ff51a,17-06-23,East,Clothing,272.88,47,29,1208.68,443%
f8548ec7,29-10-24,East,Clothing,4126.40,34,13,1690.11,41%
7855a0d2,26-09-23,North,Furniture,4204.55,49,1,1534.82,37%
bf586512,27-10-23,West,Clothing,2130.98,7,29,679.16,32%
deea1965,24-05-24,South,Furniture,1253.28,4,48,317.33,25%
a0a8290f,05-07-24,South,Sports,1050.29,30,4,423.50,40%
077a9429,02-06-23,North,Furniture,1269.10,3,7,1819.88,143%
8640000000,23-09-23,West,Groceries,4229.47,3,9,11.29,0%
41d1321a,13-11-23,South,Groceries,3767.63,30,41,1031.74,27%
44afa795,22-05-23,West,Sports,640.91,19,19,1148.62,179%
8c329e53,18-06-24,North,Furniture,2958.00,4,22,1968.62,67%
cdbba08a,22-01-23,West,Sports,4049.49,5,1,1151.90,28%
4415c908,03-04-24,North,Sports,4155.03,32,5,1637.70,39%
a9ac13d3,21-09-24,North,Furniture,2011.35,44,10,829.69,41%
5fbf219e,08-01-24,West,Electronics,2365.24,10,33,1970.10,83%
f3ba50cf,30-01-24,South,Clothing,2615.84,31,9,1276.87,49%
88840b0f,17-04-24,West,Clothing,4954.33,26,43,1723.31,35%
3dcffe93,05-06-23,North,Clothing,1969.35,27,11,1532.90,78%
745eb905,01-04-24,North,Clothing,2083.02,49,11,105.26,5%
b8fca939,26-08-24,South,Electronics,4752.49,36,8,1903.35,40%
aa2f3b2c,20-06-23,North,Clothing,4031.47,20,4,1722.65,43%
df1581bf,14-05-24,East,Furniture,3299.15,22,45,1352.78,41%
8ee932c1,22-06-24,North,Clothing,4132.07,4,19,763.86,18%
085e9490,07-06-23,South,Electronics,1053.19,22,20,570.11,54%
65b0eedf,13-05-24,North,Electronics,3864.26,22,28,908.02,23%
2836b2dd,17-04-24,East,Clothing,554.26,17,7,1898.30,342%
31cb24fb,31-12-22,North,Groceries,1781.92,36,39,795.64,45%
4b14b87e,16-07-23,South,Groceries,558.24,35,13,1101.43,197%
8b455dd5,13-08-24,South,Electronics,1132.27,24,45,1667.35,147%
431f447c,21-10-24,West,Furniture,4270.95,3,37,49.76,1%
179932de,25-05-23,West,Electronics,633.82,13,10,1830.09,289%
837fe25b,01-12-23,West,Sports,1024.68,33,47,241.15,24%
2ee55500,05-03-24,North,Furniture,218.83,7,13,863.98,395%
97d9b8c6,28-08-24,South,Sports,3563.26,14,3,1939.69,54%
7a9addbb,21-05-24,West,Sports,879.56,45,15,1898.75,216%
bf73a3ed,07-06-24,South,Furniture,239.31,45,6,434.28,181%
d586acce,11-05-24,South,Groceries,795.32,31,9,1251.72,157%
7e565ca9,17-03-23,East,Electronics,1606.99,10,14,1127.86,70%
a470e7d9,15-10-24,South,Groceries,4480.71,16,48,45.94,1%
2a6fb52d,02-03-23,East,Furniture,3901.29,36,17,1250.83,32%
2ce5273a,17-02-23,East,Sports,2584.68,25,14,834.99,32%
29752a52,01-09-23,West,Furniture,1894.09,22,1,778.98,41%
c7da6b3c,04-09-24,South,Furniture,2748.36,43,40,821.39,30%
a5c6ee7c,24-05-23,South,Electronics,4464.86,36,24,695.05,16%
99716af4,16-02-24,North,Furniture,2387.00,39,24,1353.49,57%
432c391d,28-03-24,West,Electronics,1283.84,19,2,1911.60,149%
0f71659c,03-08-23,East,Furniture,3030.58,43,47,491.17,16%
775071be,29-12-23,South,Furniture,1729.53,13,29,1892.43,109%
ff4e7918,12-11-24,South,Electronics,2206.92,40,3,87.05,4%
70bcb0dd,25-09-24,East,Electronics,2723.27,22,15,1190.99,44%
7ca03347,04-10-24,East,Furniture,3835.55,27,17,1205.89,31%
cb93a39f,28-06-24,North,Clothing,1348.82,47,14,110.54,8%
f2115065,20-09-23,North,Furniture,487.67,16,42,810.07,166%
a6d1bdfa,04-01-23,North,Sports,3338.32,45,6,1639.12,49%
1e45be91,19-05-24,East,Groceries,50.75,10,43,121.05,239%
0d2f6859,02-04-23,North,Furniture,906.40,47,26,1853.84,205%
258d10e5,24-08-24,South,Sports,657.56,22,0,104.11,16%
9abc16e4,01-05-23,North,Furniture,2252.12,23,38,1529.45,68%
5e11db9e,14-04-23,East,Sports,713.95,25,15,78.73,11%
0ad328c0,14-12-23,West,Groceries,3155.70,43,13,393.80,12%
a09f594f,11-01-24,North,Clothing,427.47,8,22,220.36,52%
711e5a0f,29-09-23,East,Furniture,2997.00,13,0,684.39,23%
a3e113c5,28-07-23,North,Electronics,1485.73,41,8,30.51,2%
af92288a,04-05-23,East,Clothing,2607.64,25,16,940.40,36%
0b15f10d,23-07-24,East,Furniture,1351.29,50,17,863.33,64%
6c5cf990,18-06-24,North,Clothing,2901.66,15,18,1362.08,47%
21097fe5,16-04-24,North,Sports,215.33,37,0,1665.67,774%
9692bc46,23-01-23,North,Sports,3359.02,2,28,1942.48,58%
760c7a33,28-06-24,West,Furniture,300.58,30,19,376.97,125%
d4fbdca4,17-06-23,West,Sports,1076.95,1,5,837.87,78%
241d17f2,09-12-23,East,Electronics,1739.95,26,2,1112.49,64%
db2827f3,16-10-23,East,Sports,3047.27,18,13,1639.74,54%
f00ad8bb,16-05-23,East,Clothing,1014.79,4,9,1269.54,125%
c0c3e1a6,10-06-24,West,Clothing,4764.20,11,31,1056.49,22%
d8742c69,26-07-23,East,Electronics,3930.05,23,29,1968.25,50%
58d80c41,13-01-23,South,Groceries,873.97,41,15,213.98,24%
23b60d27,28-08-23,South,Groceries,959.04,1,18,1832.28,191%
e029d5a6,18-02-23,West,Furniture,1586.65,26,3,1090.64,69%
c41efe4c,22-05-24,South,Furniture,1453.80,13,16,385.22,26%
61831599,28-12-22,East,Sports,4889.46,1,20,807.13,17%
cf159d42,29-06-23,East,Sports,2548.91,3,7,694.24,27%
ffa6342d,06-08-23,South,Clothing,3804.77,31,47,185.46,5%
459360d4,26-07-24,East,Groceries,372.53,19,13,232.82,62%
fdf4755a,24-07-24,North,Electronics,2573.55,48,36,1707.54,66%
0a7d436c,05-11-23,West,Clothing,1761.29,27,12,492.03,28%
3c1ab674,15-02-23,East,Groceries,4113.40,32,3,1726.09,42%
42b5d016,09-08-23,West,Electronics,202.21,6,43,734.47,363%
2616d5b4,11-10-24,North,Sports,4347.15,20,34,1392.45,32%
338c4722,13-03-24,West,Clothing,4992.83,2,28,1468.94,29%
6b1e9797,27-07-24,East,Sports,1387.18,28,9,381.96,28%
6e4fab78,01-10-24,North,Clothing,4642.87,35,14,216.96,5%
8944bc68,27-08-23,East,Electronics,4879.90,37,5,1424.10,29%
